parent,name,display
92,909,Ericaceae undiff.
199,910,Arecaceae undiff.
126,911,Haloragaceae undiff.
282,912,Saxifragaceae undiff.
212,913,Pinus subg. Pinus undiff.
33,914,Botrychium lanceolatum
920,920,clastics
930,930,Lycopodium tablets
932,932,Lycopodium spike
933,933,Author's pollen sum
9690,934,Robinia-type
201,935,Parthenocissus vitacea
1634,936,Oxalis
2262,937,Dicentra
9871,938,Berchemia scandens
3121,939,Calycanthus
21,940,Ilex-type
715,941,Prunus americana-type
715,942,Prunus undiff.
715,943,Prunus virginiana-type
397,944,Viburnum acerifolium-type
397,945,Viburnum lentago-type
1816,946,Celtis/Maclura-type
2291,947,Polygonum aviculare
10,948,Adiantum pedatum
9557,949,Deparia acrostichoides
26,950,Athyrium undiff.
33,951,Botrychium multifidum
33,952,Botrychium undiff.
613,953,Dryopteris cristata
613,954,Dryopteris goldiana
613,955,Dryopteris marginalis
613,956,Dryopteris carthusiana
799,957,Polypodiophyta (monolete) undiff.
1265,958,Polypodiophyta (trilete) undiff.
9572,959,Pleopeltis polypodioides
369,960,Fraxinus quadrangulata/F. nigra-type
369,961,Fraxinus pennsylvanica/F. americana-type
1348,962,Asplenium rhizophyllum
3668,963,Iva
1608,964,Polystichum
240,966,Portulaca
417,967,Secale
2126,968,Triglochin
417,969,Triticum
338,970,Acer macrophyllum-type
330,971,Alnus rhombifolia-type
15529,973,Berberis-type
7639,974,Camassia-type
369,975,Fraxinus latifolia-type
212,976,Pinus contorta/P. ponderosa
213,977,Pinus monticola/P. albicaulis
373,978,Pseudotsuga-type
223,979,Phlox-type
483,980,Sanguisorba-type
213,981,Pinus albicaulis-type
212,982,Pinus contorta-type
72,983,Juniperus
483,984,Cercocarpus-type
825,985,Potentilla palustris
286,986,Selaginella densa
15529,987,cf. Ceanothus velutinus
9515,988,Persicaria maculosa
15529,989,cf. Pedicularis
15529,990,cf. Scrophulariaceae
57,991,Cladium mariscoides
57,992,Cladium jamaicense
481,993,Polygonella fimbriata-type
45,994,Arenaria
715,995,Prunus cf. P. serotina
815,996,Ranunculus acris-type
5262,997,Melampyrum
136,998,Impatiens capensis
45,999,Cerastium-type
2286,1000,Mentha arvensis
1265,1001,Dennstaedtia-type
9690,1002,Astragalus
9690,1003,Oxytropis
480,1004,Plantago canescens
9518,1005,Aconogonon alaskanum
286,1006,Selaginella sibirica
210,1007,Picea det. P. glauca
210,1008,Picea det. P. mariana
29,1009,Betula det. tree
29,1010,Betula det. shrub
29,1011,Betula undiff.
311,1012,Bupleurum
45,1013,Caryophyllaceae undiff.
23,1014,Arceuthobium americanum
9700,1015,Nothofagus
1668,1016,Misodendrum
1628,1017,Dacrydium
1667,1018,Embothrium
1775,1019,Drimys
9960,1020,Asteraceae tribe Mutisieae
483,1021,Acaena
311,1022,Azorella
1783,1023,Gunnera
119,1024,Gentianella
1657,1025,Nanodea
92,1026,Empetrum-type
72,1027,Pilgerodendron-type
1628,1028,Podocarpus
1028,1029,Podocarpus nubigenus
1028,1030,Podocarpus salignus
1019,1031,Drimys winteri
1015,1032,Nothofagus dombeyi-type
1015,1033,Nothofagus obliqua-type
1629,1034,Weinmannia trichosperma
9662,1035,Aextoxicon punctatum
2274,1036,Escallonia
1692,1037,Griselinia
1623,1038,Pseudopanax laetevirens
9768,1039,Eucryphia/Caldcluvia paniculata
1667,1040,Lomatia/Gevuina
1018,1041,Embothrium coccineum
9863,1042,Laurelia
1622,1043,Maytenus boaria-type
1622,1044,Maytenus disticha-type
9957,1045,Hydrangea
9961,1046,Asteraceae cf. Perezia
1017,1047,Dacrydium fonckii
1637,1048,Donatia fascicularis
1636,1049,Astelia pumila
2018,1050,Pinguicula
445,1051,Fuchsia
9563,1052,Hymenophyllaceae
835,1053,Polypodium feuillei
5011,1054,Lycopodium paniculatum
5011,1055,Lycopodium magellanicum
9541,1058,Blechnum-type
9541,1059,Hypolepis-type
9542,1060,Pteris-type
139,1061,Isoí‚tes savatieri
1062,1062,Charcoal
9690,1066,Lupinus
9690,1067,Oxytropis-type
1207,1068,Botrychium-type
684,1069,Papaver
9652,1070,Fagus/Nyssa
15529,1071,cf. Rhamnus
224,1072,Polygala
351,1073,Jasione
32,1074,Boraginaceae undiff.
15529,1075,cf. Rhus
15529,1076,cf. Rumex
1077,1077,cf. Sanguisorba
9690,1078,Trifolium
1079,1079,cf. Verbena
698,1080,Plantaginaceae cf. Littorella
698,1081,Plantaginaceae undiff.
369,1082,Fraxinus nigra
369,1083,Fraxinus pennsylvanica
271,1084,Salix nigra
867,1085,Caulophyllum
420,1086,Cardamine-type
4062,1087,Rumex obtusifolius-type
350,1088,cf. Caltha
549,1089,Ranunculus flabellaris
1265,1090,cf. Osmunda
509,1091,Osmunda regalis/O. claytoniana
9555,1092,Adiantum-type
,1093,Trees and shrubs undiff.
1327,1094,Convolvulus-type
